stopword,sentimen
artificialintelligence seram artificialintelligence menggantikan perkerjaan manusia sejenius artificialintelligence batas kerjakan tergantung manusia memandang artificialintelligence manusia menyalahkan kehadiran artificialintelligence bergantungan artificialintelligence potensi hilang artificialintelligence alat produktivitas,negatif
programmer artificialintelligence,negatif
salah programmer tergantikan artificialintelligence human error faktor utama artificialintelligence menggantikan coding,negatif
iya sakit hati programmer belajar assembly sih terbiasa bahasa interpreter pride ya kebakar habis artificialintelligence anak an tau,negatif
artificialintelligence dampak luas programmer,positif
gua programmer,positif
wkwkwk front end iya back end i think sarjana hard change artificialintelligence,positif
setuju sih artificialintelligence projek kasih perintah artificialintelligence butuh programmer mengerti alur program ya,negatif
gue bikin project tugas kuliah bikin website lembaga pendidikan pakai bahasa php gue pelajarin fundamental php alhamdulillah bantuan chatgpt web gue dipakai lembaga pendidikan gue magang website ya sederhana bukti hadirnya artificialintelligence membantu pekerjaan programmer efisien,negatif
bahasa pemrograman mendekati bahasa manusia,positif
sektor pekerjaan terancam artificialintelligence,positif
koding seni tergantikan artificialintelligence fungsinya menulis syntaxnya kemudahan debug kemudahan dibaca orang efisiensi alogoritma seni koding,negatif
artificialintelligence programmer punah artificialintelligence mengurangi programmer drastis artificialintelligence mempermudah coding orang awam mudah masuk dunia software engineering mudah programming cepat development process ya program butuh orang dikurangi orang artificialintelligence,positif
programmer iya punah software engineer orang coding pakai artificialintelligence design manusia mendesain sesuai kebutuhan dunia kerja supervisor anak buahnya artificialintelligence,positif
nvidia sayangnya ambisius andai ambisius mengalahkan google,positif
artificialintelligence trouble shooting coding error malas mencari,negatif
programmer job utama ya solusi problem solving kebutuhan coding salah proses development proses pembuatan software artificialintelligence mempermudah proses menggantikan proses ya lgian artificialintelligence tahap deployment berjalan mulus,positif
kayak kemunculan wordpress programmer lumayan takut kehilangan pekerjaan wordpress koding website ya wordpress buka model pekerjaan koding ngandelin tools artificialintelligence wordpress,positif
artificialintelligence menciptakan programmer buruk gue orang programmer pemula gue temuin duanya belajar pakai artificialintelligence teliti blas coding bikin halaman web keren animasinya muter muter kayak hacker bikin gerak pengin misuh,negatif
secanggih apapun generate code chatgpt algoritma acak an chatgpt geser pekerjaan programmer,negatif
dipikir pakai akal sehat manusia memegang peranan dunia al kayak error ya mengendalikan manusia,negatif
kemampuan coding menyusun coding artificialintelligence cepat susun detail codenya serahkan artificialintelligence menyusun potongan potongan blok program artificialintelligence mengandalkan coder sesuai request,positif
orang akses artificialintelligence orang memanfaatkan artificialintelligence,negatif
gais kedepan coding website framework diubah drag and drop coding fitur pilih pilih klik klik framework drag and drop fitur prompt code artificialintelligence tahap,negatif
bro teknologinya namanya mendix,positif
menunggu,positif
programmer diganti artificialintelligence eh artificialintelligence ya bikin programmer lawak mengaku programmer bikin blog pakai woordpress cms,negatif
efeknya abang kapitalis didukung teknologi menghasilkan pengangguran salah hasilnya tingkat kelahiran menurun ya lihat komen orang nikah ya biaya hidup pekerja gantikan robot contoh nyata amazon setau politikus amerika mengasih solusi universal basic income tau bahas,negatif
artificialintelligence mendominasi user space kernel prompt sebagus apapun abang,positif
punah artificialintelligence bikin artificialintelligence ya programmer,negatif
kerasa banget terbantukan ngerjain tugas artificialintelligence lumayan mehemat berpikir,positif
hey chat fix this code,negatif
punah orang programmer,positif
artificialintelligence menggantikan manusia mengeliminasi penggunaan mesin mengeliminasi gagal beradaptasi,negatif
belajar dasar,positif
cuman teknik mesin kehilangan job salam solidarity forever kawan,positif
pekerjaan membutuhkan pemikiran manusia kerjain artificialintelligence biaya murah,negatif
artificialintelligence pembantu problem solving engineer contoh teknik mesin elektro sipil,positif
ya software engineer problem solving manusia artificialintelligence ngpangkas orang engineering value engineer problem solving berdasarkan text book a a cuman mengikuti resep gilas artificialintelligence,negatif
maksud terancam programmer mechanical enginer civil elektro mah terancam artificialintelligence membantu biar cepat eksekusi contoh rancang mobil terbang artificialintelligence konseptor mechanical enginer artificialintelligence membantu menghitung dll,positif
ya programmer programmer mah terancam programmer dibayar mahal hapal sintaks dibayar mahal problem solvingnya,positif
pekerjaan indonesia kiamat koruptor,positif
tuh mending banting setir biar programmer,negatif
dokter radiology panik release radiology artificialintelligence dimana dokter ahli dokter ahli radiology peralatan radiology mudah pakai,positif
programmer punah digantikan artificialintelligence makannya cita berprofesi programmer urungkan niat cari profesi programmer biar gue orang konsisten coding menjalani profesi bantuan artificialintelligence,negatif
network kegantikan artificialintelligence kah,negatif
sepenuhnya kegantikan gue mah gimanapun artificialintelligence butuh orang paham prompt artificialintelligence terima basic knowledge fundamental dibutuhin ngendaliin artificialintelligence,negatif
network indonesia kerja ya,positif
artificialintelligence hasil coding,negatif
programmer programmer gamana start belajarnya,negatif
tertawa vidio programmer gantikan artificialintelligence,negatif
berjualan online terbantu robo chat pintar penjualan interaksi buyer robo chat meningkat,negatif
ketergantungan bikin insting logic tumpul malas berpikir programmer coding problem solving berpikir jalan susah,negatif
coding flownya dimasuki code artificialintelligence artificialintelligence bisanya baca code sepotong coba memasuki code ratusan baris coba tes artificialintelligence ya langsung bingung mengerti maksud codenya codenya sepotong mengerti,negatif
nice statement,positif
keren sih artificialintelligence gua menemukan projects gua cepat solusi syntax yeah projects idam idamkan selesai,positif
artificialintelligence inovasi amp buah pikiran programmer artificialintelligence bertindak layaknya programmer programmer manusia artificialintelligence ciptaan manusia manusia takut ciptaannya detik artificialintelligence peran pembantu tokoh utama kerjakan artificialintelligence berasal informasi pekerjaan berulang cepat kerjakan artificialintelligence contoh pabrik tesla pakai robotic rakit mobilnya tuhkan pembantu penemu mobil listrik,negatif
belajar dasar kawan filink sautusaat ya kedpn programing menjanjikan kerja bergaul ide mass broo kasih masukkan langkah programing tolong ya masbroo,positif
banget no background html css,negatif
pendapat gue sih minimal paham konsep logika alurnya artificialintelligence sempurna pengalaman gue sih pakai artificialintelligence manusianya ngebenerin jadikan artificialintelligence asisten,negatif
artificialintelligence coding cepat belajar paham coding dihasilkan artificialintelligence,positif
programmer kebanyakan manja ngiranya pakai artificialintelligence jalan lancar hambatan menurutku kebanyakan persepsi pakai bahasa pemrograman kelas makannya artificialintelligence gampang garapnya masuk ranah optimisasi bahasa kelas well semoga beruntung,positif
abang main java and sih language ye,positif
kasihan coding berat eee diloncati,negatif
artificialintelligence diciptakan programmer ironis,negatif
gue setuju bro cuman propaganda larisin artificialintelligence,negatif
abang artificialintelligence perkembangan bahasa programmingnya mentok mengembangkan bahasa pemrograman butuh ahli programming artificialintelligence membantu pekerjaan praktis riset pengembangan teknologi artificialintelligence menghambat,positif
lapangan kerja indonesia menemukan lowongan kerja cocok syarat ya,positif
gue programmer gue memakai artificialintelligence gue artificialintelligence salah banget kodingan sesuai gue gue bicara flowchart dll butuh programmer gue,negatif
iya kedepan ancaman artificialintelligence,negatif
ancaman gue percaya,negatif
bikin artificialintelligence artificialintelligence pakai bahasa pemrograman belajar pemrograman konvensional coba belajar artificialintelligence biar tersingkirkan jaman,negatif
programmer logika analisa artificialintelligence membantu pekerjaannya kemajuan teknologi dirakuti dikuasai,positif
coding tau ya nih artificialintelligence,negatif
bikin program programmer tau error kebanyakan logical error,negatif
hilang terpakai melawan artificialintelligence,negatif
staff suruh backend frontend,positif
artificialintelligence layaknya kalkulator perhitungan efisien pekerjaan menggantikan manusia manusia kompleks,negatif
gaji programmer turun banget menambah gampang programmer,negatif
bikin arsitektur susah,negatif
gue makek artificialintelligence bug fixing mencari bug bejibun kodingannya ya tergantung pengguna mindset ya btw gue gara artificialintelligence bikin website ya sekelas website portofolio full beranimasi sih,negatif
susah menggantikan front end dev ku desain kadang mengikuti artificialintelligence,negatif
kaget lihat orang jualan tempelate website full,negatif
sweet just late share this the bos and now been blocked lol,positif
kemampuan menjualnya,positif
programing,positif
artificialintelligence berkembang kemanusiaan tipis,negatif
punah artificialintelligence tools gap programmer pemula expert belajar bertahun mengisi gap fokus,negatif
artificialintelligence ancaman ketinggalan artificialintelligence alat membantu pekerjaan disitu nilai kompetisi kuat wahe mantap optimis,positif
programmer artificialintelligence mengancam coba belajar pemrograman artificialintelligence habis komentar,negatif
anak gue kelas sd pelajaran coding ge emak ya belajar dos pas,positif
gue coding abang raymond backgroundnya anak ya,positif
berkolaborasi artificialintelligence tergantikan,negatif
pakai artificialintelligence bikin program skripsi dansaya kecanduan memakai artificialintelligence copas mikir error mah asaya baca programmer hilang job desk ya berkurang bertambah tau,negatif
pribadi koh ya artificialintelligence ku jadikan koresi pembantu kodingan mengkoreksi mengandalkan artificialintelligence sepenuhnya,negatif
abang negara akses artificialintelligence gaptek ya kebangetan,negatif
dibilang mempermudah iya paham bahasa pemrogramannya contoh coding pakai bahasa python pengin dirubah javascript sekedar copy paste prompt paham coding javascript ya bug generated code ya improvenya cepat pakai artificialintelligence buka dokumentasi belajar function algoritma setara professional cuman generate code artificialintelligence,negatif
kasusnya kayak ilmuwan matematikawan ahli sejarah dll smartphone dilengkapi kalkulator wikipedia profesi ya,positif
beda sih mah akademisi tergantikan peradaban menggerakkan peradaban kalangan ilmuwan muncul matinya kepakaran,negatif
radio hp radio bertahan,positif
hmm iya ya,positif
bro,positif
artificialintelligence manusia artificialintelligence butuh manusia mengoperasikan artificialintelligence mati manusia mengoperasikan manusia hidup artificialintelligence artificialintelligence,negatif
game developer,positif
seram seru devin contohnya,positif
tech winter,positif
bayangkan developer artificialintelligence kode artificialintelligence,negatif
kesimpulannya belajarlah suka hadapi ketidakpastian kemarin kemarin jurusan prestise profesi programmer banget skill langka bla bla bla skill programming skill general istimewa dibutuhkan bidang pertanian pilihlah jurusan kuliah minat niat ketulusan belajar serius belajar expert bidangnya insya allah susah mencari pekerjaan,positif
pertanian diganti artificialintelligence robot kelola pertanian butuh kecerdasan buatan,negatif
agree,positif
setujuu,positif
designer kak maksudnya nasib kedepannya suka design disisi takut tergantikan,positif
prompt logika manusianya jalan prompt powerfull ya mengerti dasar programming,positif
bahasa pemrograman syntax ya beda beda logika berpikir programmer ya programmer lupa syntax searching google pakai artificialintelligence program menghasilkan output algoritma logika memadai komputer melaksanakan diinstruksikan programmer instruksi salah outputnya salah,negatif
serasa menebarkan misinformation pekerjaan programmer punah omongan jensen bilang sengaja harapan menarik engagement mengerti omongan jensen salah menginterpretasikannya diteruskan kualitas yt terpuruk better,negatif
menulis program mah artificialintelligence disuruh ngedebug program mengasih program program pakai bahasa sih artificialintelligence dikasih general review langsung membahas sih salah,negatif
artificialintelligence ancaman alat bantu,positif
meme lucu programmer bug disalahkan,positif
progremer apalin sintax terpenting paham alur pemrograman ya algoritma ya artificialintelligence ya cangih paham alur ngarahin sih artificialintelligence,negatif
we dont memorize syntax,positif
gue menggantikan mengurangi pekerjaan programmer artificialintelligence perusahaan hire programmer pekerjaan gampang artificialintelligence omongan ceo nvidia bilang belajar coding misleading artificialintelligence perusahaan hire programmer paham coding mengecek ngerjain tugas dikasih artificialintelligence,negatif
nothing impossible bro artificialintelligence loh umurnya gila,positif
puluhan buku buku artificialintelligence klasik terbitan abad pedoman kampus perkuliahan artificialintelligence llm image generation booming,negatif
ketawa gue mah pengembangan artificialintelligence dibantu manusia mengembangkan,negatif
artificialintelligence will replace our jobs programmer finally,positif
ya ilmu berdasar copy butuh teori kode ilmu stuck berkembang sebentar semoga artificialintelligence pakai kode perintah ide,positif
emm namanya devin membantu pakai spesifik sesuai salah kesimpulan artificialintelligence devin membantu mempercepat simple overload kepala,positif
melengkapi sih,positif
lingkaran setan artificialintelligence robot meningkatkan efektivitas efisiensi perusahaan akibatnya orang kehilangan pekerjaan perusahaan membutuhkan pembeli apapun jual orang kehilangan pekerjaan orang duit membeli perusahaan menghasilkan duit orang jatuh miskin tujuan utama efisiensi memperkaya bossnya segelintir bossnya bertambah kayak sisanya ya gagal jualannya laku profesi kedokteran berkurang digantikan artificialintelligence robot operasi robot presisi menutup ruang kesalahan manusia seram sih artificialintelligence robot manusia kehilangan pekerjaan kesenjangan sosial,negatif
iya kadang teman nganggap artificialintelligence akal an menyusahkan kerja pendek banget sih pmikirannya gua bikin usaha cemilan idenya artificialintelligence,negatif
indonesia ngejernya tuh butuh jujur abang,negatif
bilang pebisnis progammer butuh separuh seperempat orang jago memasuki prompt bayaran gaji hitung ya,negatif
bayangkan artificialintelligence bikin program langsung low level machine language alias level asembli preprosesor compiler asembler dll dll langsung mesin,negatif
orang taiwan cerdas ketemu pas jalan jalan taicung,positif
ancaman koh contohnya gambar suka gambar kesini artificialintelligence kayaknya seram gampangnya gambar detik langsung jgnkan gambar kebutuhan game banget imbasnya lahan pekerjaan seniman diluar berkurang,positif
menggantikan tools tambahan developer kayak designer canva generative artificialintelligence photoshop dll,positif
adaptasi mati datangnya a i alat memperalat,negatif
gua back end terkadang artificialintelligence mengasih code salah intinya butuh manusia tau fundamental codingnya,negatif
projeknya gede mengerti konsepnya,positif
ya parameternya string perulangannya kebalik,negatif
artificialintelligence ya berkembang,positif
sih kang teknologi perkembangannya cepat fokus up skill,positif
butuh sih storage murah banget chipset dna manusia makhluk hidup was was programmer,positif
banget artificialintelligence mempermudah programmer coding dibantu artificialintelligence,positif
create problem sell solution problem create artificialintelligence solution use their product,positif
artificialintelligence sense of arts artificialintelligence memudahkan mempercepat pekerjaan pikiran perasaan manusia rumit didevelop bentuk artificialintelligence,negatif
artificialintelligence versi pekerjaan harian terbantu programmer tukang dagang coklat enak zaman artificialintelligence kayak konsultan gratis tau input pertanyaanya,positif
arsitektur program manusia code nyontek,positif
otak takut artificialintelligence,negatif
artificialintelligence orang,negatif
punahhhh smuaa kerja kreatif aaj fitur artificialintelligence biarpun simple orang pn pande modal app,positif
nice,positif
mantan mahasiswa batam programmer punah bro artificialintelligence keterbatasan bos,positif
uhmaakk nyasar tokoh lubuk baja,positif
terbatas terbatas kayak artificialintelligence tukang code,negatif
everybody can be super when everyone is super no one will be syndrome incrediboy,positif
my name sarjana not buddy,negatif
programmer hilang ngelanjutin ainya hah,negatif
programmer beralih profesi prompt artificialintelligence,positif
belajar masak kagak kalah plek artificialintelligence kecuali panca indera manusia demen perasa tok sensasi kehidupan,negatif
lhah artificialintelligence programmer coding bahasa pemrograman aras mesti konek aras rendah langsung terkait perintah perangkat keras,negatif
gua bikin koding v,negatif
setuju,positif
orang bilang matematikawan hilang kalkulator canggih matematikawan artificialintelligence programmer artificialintelligence cuman membantu nyariin program sesuai kemauan ngebenerin nyusun program ya,negatif
gue setuju artificialintelligence menggantikan programmer coding setuju artificialintelligence mematikan programmer karrna mempersingkat kerja programmer perusahaan memangkas programmer,negatif
susah digantikan artificialintelligence fotografer wedding pendapat teman,negatif
terbayang dulunya orang ngedit video berkualitas jago orang awam kedepannya orang jago bikin game apk web berkualitas orang awam,positif
agree,positif
programmer cuman codennya auto generated main pengalaman logika,negatif
ujung ya artificialintelligence dibikin perusahaan hire orang membunuh sih mengurangi hire hire,negatif
dampak buruknya sih programmer punah tergantikan dampak buruknya tuh perusahaan nge hire programmer spesifikasi mencari programmer makek artificialintelligence pasitnya bayar murah mikirnya mengapai bayar mahal coding makek artificialintelligence meng gebu mikir keras perusahaan berani bayar mahal pekerjaannya mikir keras membayar mahal perkerjaan instan bantu artificialintelligence pasar freelance perang harga banting harga dll harga stabil,negatif
artificialintelligence ngadepin client merubah kebutuhan bisnis proses kemampuan utama artificialintelligence meniru beradaptasi berpikir problem solving,negatif
perusahaan ceonya artificialintelligence,positif
mengubah kebutuhan client proses bisnis tugas programmer,positif
kebutuhan client bilang kayak toko baju nasi goreng,negatif
engineer bedakan programmer engineer orang senior pengalaman puluhan stop nyentuh programming fokus menyelesaikan user,negatif
gue maksud baca artikel perusahaan ngehandle penyelesaian user kayak chat gpt artificialintelligence control canggih hadepin interview hrd dkk,negatif
front end setuju beckend mustahil sih ganti,positif
basic,positif
gue setuju abang,negatif
susah koh kebanyakan programmer indonesia perusahaan programmer ya pakai ganti ganti orang menambah orang part time freelancer cari negeri freelance kalah saing programmer india pakistan keren murah wordpress persaingan ketat junior sesepuh pro kerja,positif
mempermudah banget pakai artificialintelligence susah mikir mempersingkat code,negatif
programmer artificialintelligence menghilangkan kerjaanya wkwkwkwkwk,negatif
artificialintelligence mesti batasannya sih,positif
senior cemas generasi programmer didikan artificialintelligence entar coding internet auto mandul develop embedded system copas jalan stres hiling ya tools tergantung pemakainya,negatif
hongkong bermunculan mencoba kicked orang product artificialintelligence gantikan programmer fokus product diinisiasi programmer disana padangan cuman small company software house artificialintelligence mencapai tingkat advanced coding info wfh company tau,negatif
pendapat gue a i malfungsi error mutasi dll dibutuhkan ahli programmer programmer a i menangani iya abang polos banget opininya,negatif
intinya mengantikan memangkas doang tadnya butuh butuh,negatif
magang bikin system aplikasi client perusahaannya mengadopsi artificialintelligence kayak chatgpt tujuan ya membantu programmer motong pengerjaan development systemnya cepat efisien dibagian implementasinya ya dibagian menentukan desain spesifikasi testing programmer full turun tangan proses development system dibantu artificialintelligence programmer artificialintelligence artificialintelligence jalan dikasi tau modul perintahnya programmer programmer belajar machine learning artificialintelligence implementasinya dimana,positif
acamannya penipuan artificialintelligence regulasi tindak kejahatan sih its good alt bagus,positif
koding ya hilang programmer programmer solusi,negatif
belajar coding ngembangin games komen wawasan sih tergantiin value programmer nurun anggep kayak bisnis jagung susah nanam tanam pupuk kompleks banget pupuk nyatuin pupuk kompleks ya pemikiran salah tolong mengomentari pedas ok terimakasih,positif
sok far mencoba gemini premium chatgpt plus both still sucks sok badly art mencoba dall e pixellab midjourney i hope devin up the expectation mempercepat development time sih coding mengancam mostly paham kerjain entry level problem solve cepat problem ya orang masuk as programmer tools ngerjain perusahaan minimum benefit hire newbie,positif
artificialintelligence code sifatnya generic crud standard faktanya software development sekedar crud perusahaan kebutuhan khusus sifatnya rahasia artificialintelligence contohnya codebase qualtrics sap google search dll tergantikan programmer abal abal tingkatin skill focus bahasa pemprograman suka semudah hai artificialintelligence situs berita tek tek tek tek semudah butuh desain unik optimasi query deployment dll,positif
ya harinya artificialintelligence ngerjain pekerjaan manusia sih abang wkwk tunggu,negatif
singkat kemampuan artificialintelligence cuman sebatas generic fungsi code aman menurutku terjamin profesi programmer jaman dimana anak anak balita kakek kakek kelak beda banget,negatif
kantor gue fe be phk karyawannya diganti artificialintelligence alhasil cost perusahaan hemat promosi market,negatif
denial bilang pekerjaan computer tuh mati butuhin gempur artificialintelligence bercuan kwkwk,negatif
lucu banget karangannya,positif
coding professional kayanya titik artificialintelligence,positif
punah dikurangi,negatif
arah mengurangi sih abang kayk perusahaan start up programmer menyelesaikan program artificialintelligence perusahaan butuh efisien,positif
ya artificialintelligence tuh suruh kerja manusia manusianya tinggal terima duit makan artificialintelligence makan,negatif
